Status,Status,Commit Hash,Message,Notes,Problem
,,ecc0f272a0,Merge #17007: build: 0.19 release updates on master,,FALSE
Done (Merged to dashpay),,19ba43ae2d,Merge #16964: gui: Change sendcoins dialogue Yes to Send,,FALSE
,,ccaef6c28b,Merge #16908: txmempool: Make entry time type-safe (std::chrono),,FALSE
,,fecc1be231,Merge #16884: wallet: Change default address type to bech32,,FALSE
,,f4a0d27e85,Merge #13716: bitcoin-cli: -stdinwalletpassphrase and non-echo stdin passwords,,FALSE
,,a689c11907,Merge #16524: Wallet: Disable -fallbackfee by default,,FALSE
,,284cd3195a,"Merge #17040: ci: Make apt-get more verbose, to debug travis timeouts",,FALSE
,,4715037796,Merge #17038: Don't rename main thread at process level,,FALSE
,,c90ce0f709,"Merge #17022: doc: move-only: Steps for ""before major release branch-off""",,FALSE
,,f1f284aa75,Merge #17042: contrib: fix minor typos in makeseeds.py,,FALSE
Done (Merged to dashpay),,8ddc303931,Merge #17031: gui: Prevent processing duplicate payment requests,,FALSE
,,94e6e9f38d,Merge #17026: doc: Update bips.md for default bech32 addresses in 0.20.0,,FALSE
,,94d6a18f23,Merge #16507: feefilter: Compute the absolute fee rather than stored rate,,FALSE
Done (Merged to dashpay),,917d3d9052,Merge #17052: scripts: update copyright_header script to include additional files,,FALSE
,,7b701fef58,Merge #17049: contrib: Bump gitian descriptors for 0.20,,FALSE
Done (Merged to dashpay),,febc31c641,Merge #17069: tests: Pass fuzzing inputs as constant references,,FALSE
Done (Merged to dashpay),,866fd2888f,Merge #17030: test: Fix Python Docstring to include all Args.,,FALSE
,,df50fd194f,"Merge #16802: scripts: In linearize, search for next position of magic bytes rather than fail",,FALSE
Done (Merged to dashpay),,2f174498d6,Merge #17073: move-only: PASTE macros to util/macros.h,,FALSE
,,34919e0033,Merge #17011: ci: Use busybox utils for one build,,FALSE
,,99cebc922c,Merge #16569: Increase init file stop timeout,,FALSE
,,9f8cd0ac89,Merge #17059: util: Simplify path argument for CBlockTreeDB ctor,,FALSE
Done (Merged to dashpay),,cc703a2398,Merge #17066: build: Remove workaround for ancient libtool,,FALSE
